Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5602498,"MyD88 deficiency (TLR2/4)",4,26,0.0017903869990359455,0.0027509794366760154,0.01887242467740058,2,2,1.4896469536719798E-4,9606,Homo sapiens,"FGB;FGG;S100A9;S100A8","","R-HSA-5602383;R-HSA-5602606"
R-HSA-5603041,"IRAK4 deficiency (TLR2/4)",4,27,0.001859248037460405,0.0031454041129000965,0.01887242467740058,2,2,1.4896469536719798E-4,9606,Homo sapiens,"FGB;FGG;S100A9;S100A8","","R-HSA-5602353;R-HSA-5602672"
R-HSA-2024101,"CS/DS degradation",4,29,0.001996970114309324,0.004046551303565682,0.02427930782139409,3,10,7.448234768359899E-4,9606,Homo sapiens,"VCAN;BGN;CSPG4;CSPG2;DCN","","R-HSA-1793176;R-HSA-2022056;R-HSA-2065233"
R-HSA-2173782,"Binding and Uptake of Ligands by Scavenger Receptors",10,167,0.011499793416884726,0.004225992294216052,0.025355953765296313,16,33,0.0024579174735587664,9606,Homo sapiens,"COL1A1;COL3A1;SPARC;COL1A2;COL4A2;COL4A1;APOA1;APOE;CALR;APOB","","R-HSA-2187264;R-HSA-3221843;R-HSA-2512800;R-HSA-2507854;R-HSA-2197770;R-HSA-2197645;R-HSA-2197646;R-HSA-2173778;R-HSA-2247511;R-HSA-2203479;R-HSA-2168889;R-HSA-2247514;R-HSA-2247512;R-HSA-2247513;R-HSA-2187261;R-HSA-2981040"
R-HSA-399956,"CRMPs in Sema3A signaling",3,18,0.00123949869164027,0.007564716051633558,0.045388296309801346,5,5,3.7241173841799495E-4,9606,Homo sapiens,"PLXNA2;PLXNA1;PLXNA3","","R-HSA-399951;R-HSA-399946;R-HSA-399947;R-HSA-399931;R-HSA-399944"
R-HSA-8963896,"HDL assembly",3,18,0.00123949869164027,0.007564716051633558,0.045388296309801346,6,9,6.703411291523909E-4,9606,Homo sapiens,"BMP1;APOA1;A2M","","R-HSA-216723;R-HSA-264758;R-HSA-216727;R-HSA-216757;R-HSA-216756;R-HSA-349657"
R-HSA-8941333,"RUNX2 regulates genes involved in differentiation of myeloid cells",2,6,4.131662305467566E-4,0.007890525803948,0.047343154823688005,2,2,1.4896469536719798E-4,9606,Homo sapiens,"LGALS3","","R-HSA-8938382;R-HSA-8938371"
R-HSA-399955,"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion",3,19,0.0013083597300647294,0.008756091841896296,0.05253655105137778,6,8,5.958587814687919E-4,9606,Homo sapiens,"PLXNA2;PLXNA1;PLXNA3","","R-HSA-399942;R-HSA-399941;R-HSA-399934;R-HSA-399935;R-HSA-399933;R-HSA-399928"
R-HSA-399954,"Sema3A PAK dependent Axon repulsion",3,19,0.0013083597300647294,0.008756091841896296,0.05253655105137778,3,6,4.4689408610159393E-4,9606,Homo sapiens,"PLXNA2;PLXNA1;PLXNA3","","R-HSA-399939;R-HSA-399952;R-HSA-399930"
R-HSA-354194,"GRB2:SOS provides linkage to MAPK signaling for Integrins ",3,20,0.001377220768489189,0.010051288158955729,0.060307728953734374,2,2,1.4896469536719798E-4,9606,Homo sapiens,"FGB;FGG;FN1","","R-HSA-354165;R-HSA-354087"
R-HSA-1566977,"Fibronectin matrix formation",2,7,4.8202726897121607E-4,0.010586983327672939,0.06352189996603763,3,3,2.2344704305079697E-4,9606,Homo sapiens,"FN1;ITGA5","","R-HSA-202723;R-HSA-2327746;R-HSA-2545196"
R-HSA-2022928,"HS-GAG biosynthesis",4,40,0.002754441536978378,0.012165638133082246,0.06590666449956761,13,14,0.0010427528675703858,9606,Homo sapiens,"GPC1;AGRN;HSPG2;GPC6","","R-HSA-2076383;R-HSA-2076508;R-HSA-2076371;R-HSA-2024108;R-HSA-2022860;R-HSA-2022856;R-HSA-2076392;R-HSA-2022887;R-HSA-2022919;R-HSA-2024100;R-HSA-2076419;R-HSA-2076611;R-HSA-2022851"
R-HSA-372708,"p130Cas linkage to MAPK signaling for integrins",3,22,0.0015149428453381077,0.012959489322508344,0.06590666449956761,3,3,2.2344704305079697E-4,9606,Homo sapiens,"FGB;FGG;FN1","","R-HSA-372693;R-HSA-372705;R-HSA-372697"
R-HSA-2022857,"Keratan sulfate degradation",3,22,0.0015149428453381077,0.012959489322508344,0.06590666449956761,2,7,5.213764337851929E-4,9606,Homo sapiens,"ACAN;LUM;PRELP","","R-HSA-2046239;R-HSA-1793217"
R-HSA-2187338,"Visual phototransduction",9,169,0.011637515493733645,0.013181332899913523,0.06590666449956761,10,92,0.006852375986891107,9606,Homo sapiens,"APOM;GPC1;APOC3;APOA1;APOE;APOB;AGRN;HSPG2;GPC6","","R-HSA-2395764;R-HSA-2187332;R-HSA-2404131;R-HSA-2404140;R-HSA-2424254;R-HSA-2395768;R-HSA-2395784;R-HSA-2423785;R-HSA-2429643;R-HSA-5246478"
R-HSA-2660826,"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",2,8,5.508883073956756E-4,0.01363139098799071,0.06815695493995355,1,5,3.7241173841799495E-4,9606,Homo sapiens,"ADAM17;ADAM10","","R-HSA-2666278"
R-HSA-2660825,"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",2,8,5.508883073956756E-4,0.01363139098799071,0.06815695493995355,1,5,3.7241173841799495E-4,9606,Homo sapiens,"ADAM17;ADAM10","","R-HSA-2666278"
R-HSA-5260271,"Diseases of Immune System",4,42,0.0028921636138272964,0.014299258873481047,0.07149629436740523,4,15,0.0011172352152539848,9606,Homo sapiens,"FGB;FGG;S100A9;S100A8","","R-HSA-5602353;R-HSA-5602672;R-HSA-5602383;R-HSA-5602606"
R-HSA-5602358,"Diseases associated with the TLR signaling cascade",4,42,0.0028921636138272964,0.014299258873481047,0.07149629436740523,4,15,0.0011172352152539848,9606,Homo sapiens,"FGB;FGG;S100A9;S100A8","","R-HSA-5602353;R-HSA-5602672;R-HSA-5602383;R-HSA-5602606"
R-HSA-977225,"Amyloid fiber formation",6,89,0.0061286324197768905,0.014477810227797483,0.07238905113898741,5,33,0.0024579174735587664,9606,Homo sapiens,"APOA1;ADAM10;APOE;TGFBI;MFGE8;HSPG2","","R-HSA-976734;R-HSA-9010074;R-HSA-9010113;R-HSA-9010034;R-HSA-977136"
R-HSA-8964058,"HDL remodeling",3,24,0.0016526649221870265,0.01629946715031305,0.08149733575156526,10,13,9.682705198867869E-4,9606,Homo sapiens,"APOC3;APOA1;APOE","","R-HSA-266310;R-HSA-264678;R-HSA-264695;R-HSA-264689;R-HSA-349404;R-HSA-266303;R-HSA-266328;R-HSA-266089;R-HSA-266299;R-HSA-266315"
R-HSA-2024096,"HS-GAG degradation",4,44,0.0030298856906762154,0.016656059189707806,0.08328029594853903,3,14,0.0010427528675703858,9606,Homo sapiens,"GPC1;AGRN;HSPG2;GPC6","","R-HSA-1667005;R-HSA-2024084;R-HSA-1678694"
R-HSA-8878166,"Transcriptional regulation by RUNX2",8,147,0.010122572648395538,0.01682029546323094,0.0841014773161547,12,84,0.006256517205422315,9606,Homo sapiens,"PSMD8;COL1A1;LGALS3;BMP2;ITGA5","","R-HSA-8939801;R-HSA-9007707;R-HSA-9008475;R-HSA-8985627;R-HSA-8985644;R-HSA-8938382;R-HSA-9008110;R-HSA-9008832;R-HSA-8939667;R-HSA-9009362;R-HSA-8938371;R-HSA-8939670"
R-HSA-8964026,"Chylomicron clearance",2,9,6.19749345820135E-4,0.017007506757086177,0.08503753378543089,4,4,2.9792939073439596E-4,9606,Homo sapiens,"APOE;APOB","","R-HSA-174706;R-HSA-174624;R-HSA-174657;R-HSA-174808"
R-HSA-8951671,"RUNX3 regulates YAP1-mediated transcription",2,9,6.19749345820135E-4,0.017007506757086177,0.08503753378543089,2,3,2.2344704305079697E-4,9606,Homo sapiens,"CTGF","","R-HSA-8951695;R-HSA-1989766"
R-HSA-373755,"Semaphorin interactions",5,70,0.004820272689712161,0.019869080183390064,0.09934540091695032,20,41,0.0030537762550275583,9606,Homo sapiens,"SEMA7A;PLXND1;PLXNA2;PLXNA1;PLXNA3","","R-HSA-399942;R-HSA-399941;R-HSA-399939;R-HSA-434990;R-HSA-399951;R-HSA-434989;R-HSA-399946;R-HSA-399947;R-HSA-416683;R-HSA-399944;R-HSA-416725;R-HSA-416690;R-HSA-416723;R-HSA-399952;R-HSA-399934;R-HSA-399935;R-HSA-399933;R-HSA-399930;R-HSA-399931;R-HSA-399928"
R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",6,98,0.006748381765597025,0.02199969689797243,0.10999848448986216,50,84,0.006256517205422315,9606,Homo sapiens,"BMP1;APOC3;APOA1;APOE;APOB;A2M","","R-HSA-8933258;R-HSA-8866308;R-HSA-8865667;R-HSA-264834;R-HSA-171141;R-HSA-8866304;R-HSA-174731;R-HSA-8858252;R-HSA-8854408;R-HSA-216723;R-HSA-8866327;R-HSA-174739;R-HSA-264848;R-HSA-216727;R-HSA-8866321;R-HSA-174741;R-HSA-8866329;R-HSA-174624;R-HSA-8933292;R-HSA-174757;R-HSA-171059;R-HSA-264758;R-HSA-216757;R-HSA-216756;R-HSA-8854462;R-HSA-266303;R-HSA-266299;R-HSA-349637;R-HSA-174786;R-HSA-266310;R-HSA-349638;R-HSA-174657;R-HSA-174660;R-HSA-8876366;R-HSA-266315;R-HSA-349404;R-HSA-174808;R-HSA-349657;R-HSA-266328;R-HSA-174690;R-HSA-171106;R-HSA-264678;R-HSA-266350;R-HSA-266089;R-HSA-176879;R-HSA-171122;R-HSA-174706;R-HSA-264695;R-HSA-264689;R-HSA-174587"
R-HSA-168898,"Toll-like Receptor Cascades",9,188,0.012945875223798375,0.024209079271859446,0.12104539635929723,21,185,0.013779234321465812,9606,Homo sapiens,"FGB;CTSL1;CTSL;CTSK;FGG;APOB;S100A9;S100A8;CTSB","","R-HSA-166082;R-HSA-5432849;R-HSA-8869667;R-HSA-2201316;R-HSA-166119;R-HSA-166091;R-HSA-2201322;R-HSA-166286;R-HSA-937059;R-HSA-166284;R-HSA-937022;R-HSA-1678920;R-HSA-2559414;R-HSA-8870678;R-HSA-2262775;R-HSA-166362;R-HSA-937079;R-HSA-166363;R-HSA-166072;R-HSA-2262777;R-HSA-1678981"
R-HSA-8939246,"RUNX1 regulates transcription of genes involved in differentiation of myeloid cells",2,11,7.574714226690538E-4,0.024692561729642515,0.12346280864821257,2,7,5.213764337851929E-4,9606,Homo sapiens,"LGALS3","","R-HSA-8938382;R-HSA-8938389"
R-HSA-430116,"GP1b-IX-V activation signalling",2,12,8.263324610935132E-4,0.028971638001283995,0.14485819000641997,5,7,5.213764337851929E-4,9606,Homo sapiens,"COL1A1;COL1A2","","R-HSA-430096;R-HSA-430076;R-HSA-443418;R-HSA-443402;R-HSA-430073"
R-HSA-199977,"ER to Golgi Anterograde Transport",8,164,0.011293210301611348,0.029606691477963465,0.14803345738981732,22,39,0.0029048115596603604,9606,Homo sapiens,"LMAN1;COL7A1;LMAN2;CTSZ;CD59;CTSC;F5","","R-HSA-6807877;R-HSA-6807875;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-6809006;R-HSA-5694527;R-HSA-5694431;R-HSA-5694428;R-HSA-204008;R-HSA-6809003;R-HSA-5694522;R-HSA-5694427;R-HSA-5694439;R-HSA-5694436;R-HSA-6809011;R-HSA-6809010;R-HSA-5694435;R-HSA-5694446;R-HSA-5694410;R-HSA-5694441;R-HSA-5694409"
R-HSA-8963899,"Plasma lipoprotein remodeling",4,54,0.00371849607492081,0.03198344891274263,0.15991724456371315,15,30,0.0022344704305079697,9606,Homo sapiens,"APOC3;APOA1;APOE;APOB","","R-HSA-174690;R-HSA-266310;R-HSA-264678;R-HSA-174757;R-HSA-266350;R-HSA-266089;R-HSA-176879;R-HSA-266315;R-HSA-174739;R-HSA-264695;R-HSA-264689;R-HSA-349404;R-HSA-266303;R-HSA-266328;R-HSA-266299"
R-HSA-8941332,"RUNX2 regulates genes involved in cell migration",2,14,9.640545379424321E-4,0.03833193774111465,0.17141331020856576,2,7,5.213764337851929E-4,9606,Homo sapiens,"ITGA5","","R-HSA-8939667;R-HSA-8939670"
R-HSA-3642279,"TGFBR2 MSI Frameshift Mutants in Cancer",1,2,1.377220768489189E-4,0.04285332755214144,0.17141331020856576,1,1,7.448234768359899E-5,9606,Homo sapiens,"TGFB1","","R-HSA-3642203"
R-HSA-3000497,"Scavenging by Class H Receptors",2,15,0.0010329155763668916,0.04338620383019398,0.17354481532077592,4,4,2.9792939073439596E-4,9606,Homo sapiens,"SPARC;APOB","","R-HSA-2247511;R-HSA-2203479;R-HSA-2247513;R-HSA-2197770"
R-HSA-2132295,"MHC class II antigen presentation",7,148,0.010191433686819996,0.046259986724947355,0.18503994689978942,3,26,0.0019365410397735737,9606,Homo sapiens,"CTSL1;CTSL;CTSK;CTSF;CTSD;CTSC;CTSB","","R-HSA-2130706;R-HSA-2130504;R-HSA-2130349"
R-HSA-168256,"Immune System",71,2681,0.18461644401597577,0.046634870531023664,0.18653948212409466,83,1621,0.12073588559511396,9606,Homo sapiens,"CTSZ;F13A1;CLU;FGF2;PSMD8;ADAMTS4;LGALS3;CTSL;PLAU;CTSK;TIMP2;TIMP1;CTSF;CTSD;CTSC;CTSB;FGB;SERPINB2;ANXA1;ANXA2;MMP1;AHSG;MMP2;HGF;FGG;PLAUR;ADAM10;F2;SERPINB6;CTSL1;FLG2;ADAM17;COL2A1;S100A9;S100A8;S100A7;CSTB;LAMA5;FGL2;PRCP;SDCBP;VTN;APOM;ANX2;MLEC;CD59;APOB;S100A11;TGFB1;HSPA5;FN1;PRDX6;COL1A1;COL3A1;COL1A2;CALR;CRLF1","","R-HSA-6785895;R-HSA-6789615;R-HSA-166286;R-HSA-2130349;R-HSA-166284;R-HSA-173709;R-HSA-8863895;R-HSA-6799350;R-HSA-2559414;R-HSA-8870678;R-HSA-1168640;R-HSA-1168777;R-HSA-173723;R-HSA-173720;R-HSA-1678981;R-HSA-173725;R-HSA-8951595;R-HSA-6783556;R-HSA-8869667;R-HSA-209061;R-HSA-6798528;R-HSA-2530445;R-HSA-8863914;R-HSA-8950567;R-HSA-937022;R-HSA-5696356;R-HSA-2130706;R-HSA-5696357;R-HSA-2530453;R-HSA-166072;R-HSA-5696490;R-HSA-166082;R-HSA-8951499;R-HSA-8950731;R-HSA-5432849;R-HSA-2201316;R-HSA-1236948;R-HSA-166091;R-HSA-2201322;R-HSA-6800426;R-HSA-6783530;R-HSA-6783670;R-HSA-1678920;R-HSA-6800434;R-HSA-2262775;R-HSA-1236935;R-HSA-5668481;R-HSA-8950480;R-HSA-166362;R-HSA-166363;R-HSA-2262777;R-HSA-2530429;R-HSA-8950504;R-HSA-983150;R-HSA-8852580;R-HSA-983148;R-HSA-166119;R-HSA-983146;R-HSA-983145;R-HSA-5607731;R-HSA-2130504;R-HSA-983142;R-HSA-8852716;R-HSA-937059;R-HSA-6798474;R-HSA-1266684;R-HSA-6798743;R-HSA-6785047;R-HSA-879358;R-HSA-6798739;R-HSA-6810643;R-HSA-8863858;R-HSA-983161;R-HSA-6798751;R-HSA-1236970;R-HSA-937079;R-HSA-5607724;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-6798745;R-HSA-5668520;R-HSA-6798489"
R-HSA-3000484,"Scavenging by Class F Receptors",2,16,0.0011017766147913511,0.04867266742879084,0.19469066971516336,2,2,1.4896469536719798E-4,9606,Homo sapiens,"CALR;APOB","","R-HSA-2247514;R-HSA-2197645"
R-HSA-75892,"Platelet Adhesion to exposed collagen",2,16,0.0011017766147913511,0.04867266742879084,0.19469066971516336,4,6,4.4689408610159393E-4,9606,Homo sapiens,"COL1A1;COL1A2","","R-HSA-114577;R-HSA-114563;R-HSA-114671;R-HSA-114670"
R-HSA-2691230,"Signaling by NOTCH1 HD Domain Mutants in Cancer",2,16,0.0011017766147913511,0.04867266742879084,0.19469066971516336,1,6,4.4689408610159393E-4,9606,Homo sapiens,"ADAM17;ADAM10","","R-HSA-2730752"
R-HSA-2691232,"Constitutive Signaling by NOTCH1 HD Domain Mutants",2,16,0.0011017766147913511,0.04867266742879084,0.19469066971516336,1,6,4.4689408610159393E-4,9606,Homo sapiens,"ADAM17;ADAM10","","R-HSA-2730752"
R-HSA-2022854,"Keratan sulfate biosynthesis",3,37,0.002547858421704999,0.048681466824513686,0.19472586729805474,8,9,6.703411291523909E-4,9606,Homo sapiens,"ACAN;LUM;PRELP","","R-HSA-2046175;R-HSA-2046222;R-HSA-2025724;R-HSA-2046285;R-HSA-2046298;R-HSA-2025723;R-HSA-2046265;R-HSA-2046180"
R-HSA-354192,"Integrin signaling",3,39,0.002685580498553918,0.05526086872512559,0.22104347490050236,15,24,0.0017875763444063757,9606,Homo sapiens,"FGB;FGG;FN1","","R-HSA-354149;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-429441;R-HSA-377644;R-HSA-354124;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-372693;R-HSA-354165;R-HSA-354066;R-HSA-372697;R-HSA-354073"
R-HSA-9619665,"EGR2 and SOX10-mediated initiation of Schwann cell myelination",3,39,0.002685580498553918,0.05526086872512559,0.22104347490050236,2,26,0.0019365410397735737,9606,Homo sapiens,"LAMA2;LAMB2;LAMB1;LAMC1","","R-HSA-9619666;R-HSA-9619668"
R-HSA-202733,"Cell surface interactions at the vascular wall",10,257,0.017697286875086076,0.058987962023163476,0.2359518480926539,6,65,0.004841352599433934,9606,Homo sapiens,"COL1A1;TGFB1;COL1A2;MMP1;GPC1;FN1;HMCN1;ITGA5;F2;APOB","","R-HSA-114577;R-HSA-202723;R-HSA-141040;R-HSA-203130;R-HSA-375135;R-HSA-8870732"
R-HSA-392499,"Metabolism of proteins",62,2334,0.16072166368268834,0.05901255810889672,0.23605023243558687,73,892,0.0664382541337703,9606,Homo sapiens,"SPON2;SPARC;CTSZ;TNC;LAMC1;PRSS23;PSMD8;ADAMTS4;ADAMTSL1;C1QTNF1;LGALS1;ADAMTSL5;ADAMTSL4;ADAMTS1;TIMP1;CTSD;CTSC;IGFBP5;AHSG;MMP1;IGFBP4;MMP2;IGFBP3;FGG;PLAUR;ADAM10;APOA1;F2;HSPG2;F5;HCFC1;VCAN;VWA1;MFGE8;ITIH2;SERPINC1;ADAMTS12;THBS2;LTBP1;THBS1;THSD4;LMAN1;LMAN2;MLEC;CD59;IGFBP7;APOE;IGFBP6;APOB;TGFB1;HSPA5;LAMB2;FN1;LAMB1;COL7A1;TGFBI;CALR;CSPG2;FBN1","","R-HSA-381446;R-HSA-901006;R-HSA-8853379;R-HSA-5694418;R-HSA-5173192;R-HSA-5694417;R-HSA-5694431;R-HSA-5694428;R-HSA-5694427;R-HSA-381461;R-HSA-8956184;R-HSA-548890;R-HSA-2022412;R-HSA-9010074;R-HSA-5689539;R-HSA-162836;R-HSA-947991;R-HSA-5665871;R-HSA-381086;R-HSA-5694410;R-HSA-2022403;R-HSA-5694409;R-HSA-381466;R-HSA-6807877;R-HSA-6807875;R-HSA-381217;R-HSA-162729;R-HSA-535717;R-HSA-5694439;R-HSA-5694436;R-HSA-532667;R-HSA-5694435;R-HSA-1791150;R-HSA-5694446;R-HSA-381500;R-HSA-901047;R-HSA-381503;R-HSA-381496;R-HSA-5694441;R-HSA-5173005;R-HSA-203973;R-HSA-9010113;R-HSA-5689630;R-HSA-6809006;R-HSA-381518;R-HSA-6809003;R-HSA-976734;R-HSA-159826;R-HSA-5690759;R-HSA-6809011;R-HSA-6809010;R-HSA-5684864;R-HSA-5685902;R-HSA-159843;R-HSA-381543;R-HSA-381158;R-HSA-381537;R-HSA-8956140;R-HSA-5665854;R-HSA-8952289;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-381545;R-HSA-5690790;R-HSA-1791082;R-HSA-159728;R-HSA-2022381;R-HSA-5690785;R-HSA-2179291;R-HSA-9010034;R-HSA-977136;R-HSA-381435"
R-HSA-6803211,"TP53 Regulates Transcription of Death Receptors and Ligands",2,18,0.00123949869164027,0.0598931660007509,0.2395726640030036,3,7,5.213764337851929E-4,9606,Homo sapiens,"IGFBP3","","R-HSA-6800035;R-HSA-6800044;R-HSA-6800042"
R-HSA-2032785,"YAP1- and WWTR1 (TAZ)-stimulated gene expression",2,18,0.00123949869164027,0.0598931660007509,0.2395726640030036,1,9,6.703411291523909E-4,9606,Homo sapiens,"CTGF","","R-HSA-1989766"
R-HSA-447115,"Interleukin-12 family signaling",5,96,0.006610659688748106,0.061717595736144326,0.2468703829445773,4,114,0.008490987635930284,9606,Homo sapiens,"SERPINB2;ANXA2;ANX2;CRLF1","","R-HSA-8950504;R-HSA-8950731;R-HSA-8950480;R-HSA-8950567"
R-HSA-8964043,"Plasma lipoprotein clearance",3,42,0.0028921636138272964,0.06587691020183783,0.26350764080735134,19,35,0.0026068821689259644,9606,Homo sapiens,"APOA1;APOE;APOB","","R-HSA-349637;R-HSA-171106;R-HSA-8933258;R-HSA-174624;R-HSA-349638;R-HSA-174657;R-HSA-8933292;R-HSA-8865667;R-HSA-264834;R-HSA-171141;R-HSA-8876366;R-HSA-8858252;R-HSA-8854408;R-HSA-171122;R-HSA-174706;R-HSA-171059;R-HSA-264848;R-HSA-8854462;R-HSA-174808"
R-HSA-1236975,"Antigen processing-Cross presentation",8,195,0.013427902492769591,0.06753792786807045,0.26721673723592043,7,23,0.0017130939967227767,9606,Homo sapiens,"PSMD8;FGB;CTSL1;CTSL;FGG;CALR;S100A9;S100A8","","R-HSA-8863895;R-HSA-8951595;R-HSA-8863858;R-HSA-1236935;R-HSA-1236948;R-HSA-1236970;R-HSA-8863914"
R-HSA-6802948,"Signaling by high-kinase activity BRAF mutants",3,44,0.0030298856906762154,0.07343339447879893,0.26721673723592043,4,6,4.4689408610159393E-4,9606,Homo sapiens,"FGB;FGG;FN1","","R-HSA-6802912;R-HSA-6802911;R-HSA-6802910;R-HSA-6803227"
R-HSA-8950505,"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",4,73,0.005026855804985539,0.07812572557739761,0.26721673723592043,2,36,0.0026813645166095636,9606,Homo sapiens,"SERPINB2;ANXA2;ANX2","","R-HSA-8950480;R-HSA-8950567"
R-HSA-3000471,"Scavenging by Class B Receptors",2,21,0.0014460818069136482,0.07816987316171442,0.26721673723592043,4,5,3.7241173841799495E-4,9606,Homo sapiens,"APOA1;APOB","","R-HSA-2187264;R-HSA-2512800;R-HSA-2247512;R-HSA-2197646"
R-HSA-2892247,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",2,21,0.0014460818069136482,0.07816987316171442,0.26721673723592043,2,16,0.0011917175629375838,9606,Homo sapiens,"FGF2","","R-HSA-480515;R-HSA-2972960"
R-HSA-168249,"Innate Immune System",37,1333,0.09179176421980444,0.08123008988466474,0.26721673723592043,47,708,0.05273350215998808,9606,Homo sapiens,"CSTB;CTSZ;FGL2;PRCP;CLU;PSMD8;ADAMTS4;LGALS3;VTN;SDCBP;APOM;CTSL;PLAU;CTSK;TIMP2;MLEC;ANX2;CD59;APOB;CTSD;CTSC;S100A11;CTSB;FGB;ANXA2;AHSG;FGG;PLAUR;ADAM10;F2;PRDX6;SERPINB6;CTSL1;FLG2;S100A9;S100A8;S100A7","","R-HSA-166082;R-HSA-5432849;R-HSA-2201316;R-HSA-166091;R-HSA-2201322;R-HSA-166286;R-HSA-6800426;R-HSA-166284;R-HSA-173709;R-HSA-6799350;R-HSA-1678920;R-HSA-2559414;R-HSA-8870678;R-HSA-6800434;R-HSA-2262775;R-HSA-166362;R-HSA-173723;R-HSA-166363;R-HSA-173720;R-HSA-2262777;R-HSA-2530429;R-HSA-1678981;R-HSA-173725;R-HSA-8852580;R-HSA-8869667;R-HSA-166119;R-HSA-5607731;R-HSA-6798528;R-HSA-2530445;R-HSA-8852716;R-HSA-937059;R-HSA-6798474;R-HSA-937022;R-HSA-6798743;R-HSA-879358;R-HSA-2530453;R-HSA-6798739;R-HSA-6810643;R-HSA-6798751;R-HSA-937079;R-HSA-5607724;R-HSA-6798749;R-HSA-166072;R-HSA-6798748;R-HSA-6798747;R-HSA-6798745;R-HSA-6798489"
R-HSA-3642278,"Loss of Function of TGFBR2 in Cancer",1,4,2.754441536978378E-4,0.08387577467774321,0.26721673723592043,2,2,1.4896469536719798E-4,9606,Homo sapiens,"TGFB1","","R-HSA-3645780;R-HSA-3642203"
R-HSA-3645790,"TGFBR2 Kinase Domain Mutants in Cancer",1,4,2.754441536978378E-4,0.08387577467774321,0.26721673723592043,1,1,7.448234768359899E-5,9606,Homo sapiens,"TGFB1","","R-HSA-3645780"
R-HSA-5357609,"Glycogen storage disease type II (GAA)",1,4,2.754441536978378E-4,0.08387577467774321,0.26721673723592043,1,1,7.448234768359899E-5,9606,Homo sapiens,"ADAMTS4","","R-HSA-9036729"
R-HSA-9672391,"Defective F8 cleavage by thrombin",1,4,2.754441536978378E-4,0.08387577467774321,0.26721673723592043,1,1,7.448234768359899E-5,9606,Homo sapiens,"F2","","R-HSA-9666383"
R-HSA-3656535,"TGFBR1 LBD Mutants in Cancer",1,4,2.754441536978378E-4,0.08387577467774321,0.26721673723592043,1,1,7.448234768359899E-5,9606,Homo sapiens,"TGFB1","","R-HSA-3656382"
R-HSA-9657688,"Defective factor XII causes hereditary angioedema",1,4,2.754441536978378E-4,0.08387577467774321,0.26721673723592043,1,2,1.4896469536719798E-4,9606,Homo sapiens,"F2","","R-HSA-9653249"
R-HSA-168277,"Influenza Virus Induced Apoptosis",1,4,2.754441536978378E-4,0.08387577467774321,0.26721673723592043,1,2,1.4896469536719798E-4,9606,Homo sapiens,"TGFB1","","R-HSA-168865"
R-HSA-1266738,"Developmental Biology",35,1262,0.08690263049166781,0.08907224574530681,0.26721673723592043,64,556,0.04141218531208104,9606,Homo sapiens,"SEMA7A;COL16A1;LAMA2;PLXND1;LAMA1;LAMC1;FGF2;PSMD8;SDCBP;GPC1;PLXNA2;PLXNA1;SLIT2;PLXNA3;TGFB1;LAMB2;MMP2;ADAM10;LAMB1;COL3A1;COL2A1;CXCL12;COL5A1;COL4A2;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL4A3;COL6A3;COL4A5;ITGA5;AGRN","","R-HSA-480515;R-HSA-443778;R-HSA-2972960;R-HSA-8986258;R-HSA-374686;R-HSA-434990;R-HSA-434989;R-HSA-416683;R-HSA-4093329;R-HSA-9010872;R-HSA-416690;R-HSA-399934;R-HSA-399935;R-HSA-399933;R-HSA-399930;R-HSA-399931;R-HSA-399928;R-HSA-9619666;R-HSA-399942;R-HSA-399941;R-HSA-399939;R-HSA-9619668;R-HSA-376141;R-HSA-399951;R-HSA-376140;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-204364;R-HSA-376149;R-HSA-416725;R-HSA-428885;R-HSA-376145;R-HSA-9010396;R-HSA-416723;R-HSA-428883;R-HSA-399952;R-HSA-373715;R-HSA-428511;R-HSA-9010898;R-HSA-428888;R-HSA-428518;R-HSA-8849638;R-HSA-9010539;R-HSA-560491;R-HSA-9010541;R-HSA-428515;R-HSA-381283;R-HSA-8849646;R-HSA-375151;R-HSA-3928657;R-HSA-428522;R-HSA-3928660;R-HSA-373738;R-HSA-428534;R-HSA-428535;R-HSA-428533;R-HSA-8985594;R-HSA-428531;R-HSA-375155;R-HSA-9010815;R-HSA-9011313;R-HSA-428536;R-HSA-8985591"
